Date,"MSFT AAPL_('Close', 'AAPL')","MSFT AAPL_('Close', 'MSFT')","MSFT AAPL_('High', 'AAPL')","MSFT AAPL_('High', 'MSFT')","MSFT AAPL_('Low', 'AAPL')","MSFT AAPL_('Low', 'MSFT')","MSFT AAPL_('Open', 'AAPL')","MSFT AAPL_('Open', 'MSFT')","MSFT AAPL_('Volume', 'AAPL')","MSFT AAPL_('Volume', 'MSFT')"
2024-06-06,193.16798400878906,419.8127746582031,195.17436081654608,420.5940233339555,192.86007777289478,415.91646023275075,194.36982770834507,419.30845022429816,41181800,14861300
2024-06-07,195.561767578125,419.1502685546875,195.61143330627965,421.55331696325794,192.83031924399432,418.30968749669245,193.33687329712626,421.47421729884104,53103900,13621700
2024-06-10,191.81716918945312,423.12567138671875,195.96897795846326,423.33333440686357,190.8537117900643,419.1898218829819,195.5716673445734,419.9908379970184,97010200,13982900
2024-06-11,205.7525177001953,427.88232421875,205.7624599378956,428.02078634829667,192.32373729563466,420.5347172370151,192.34359145933493,420.76217780161693,172373300,14551100
2024-06-12,211.6326141357422,436.1694641113281,218.7145040828182,438.4835142504696,205.50422428227435,428.4460648715454,205.97105482418652,430.4931196720458,198134300,22366200
2024-06-13,212.7947235107422,436.68365478515625,215.2877853731434,438.47361288924054,210.17253378994005,434.498168180252,213.29135046662026,435.96176849341106,97862700,15960600
2024-06-14,211.05653381347656,437.6626892089844,213.71844708080008,438.2263761607837,209.87455920751867,431.877549319742,212.40735976944958,433.42024926631433,70122700,13582000
2024-06-17,215.2083282470703,443.39837646484375,217.4729460060793,445.9398870196781,211.28497823555003,435.8332072728674,211.93058723086708,437.68246749988464,93728300,20790000
2024-06-18,212.8443603515625,441.390869140625,217.15509356895643,445.14875191744164,211.56306955662498,439.95696520327493,216.12210108008887,444.7234969265718,79943300,17112500
2024-06-20,208.2654571533203,440.7580261230469,212.79470737847507,441.5788096843686,207.44106980621038,436.37712366644695,212.48678595825902,441.3513490930651,86172500,19877400
2024-06-21,206.0902557373047,444.792724609375,210.4605668046439,445.58384193574466,205.71281440805072,441.55899405937,208.9706859649803,442.4193424510746,241805100,34187100
2024-06-24,206.7358856201172,442.7061462402344,211.26512140596267,447.72980476303803,205.1963388988781,441.4601077502006,206.3187207615107,444.812502964026,80727000,15913700
2024-06-25,207.65960693359375,445.9497985839844,209.95402109263304,446.41458834788966,207.20270345608853,441.7963568563546,207.73905391104032,443.27972459062323,55549700,16413400
2024-06-26,211.81138610839844,447.1463928222656,213.41052543273105,448.5704283232279,209.21899292189278,443.2204115082174,210.07319184959564,444.0214277051093,66213200,16507000
2024-06-27,212.65565490722656,447.8287048339844,214.28459061162127,451.11189918090986,210.91746067332394,446.76066321308457,213.2416710401095,447.1661206636861,49772700,14806300
2024-06-28,209.19912719726562,441.9941101074219,214.6123729638464,450.33062875420535,208.8812938369491,441.46008932267114,214.31439376890182,448.04624507062687,82542700,28362300
2024-07-01,215.28778076171875,451.66571044921875,216.0426482623776,452.29859832649356,210.4903626519942,440.718449260987,210.65921399467373,443.6851847474979,60402900,17662800
2024-07-02,218.7840118408203,454.1874084472656,218.89327036159415,454.4939686896818,213.6488916761499,448.08580938726794,214.6917960084413,448.17483800659534,58046200,13979800
2024-07-03,220.05538940429688,455.6608581542969,220.05538940429688,455.9080860928665,217.55238550522975,452.80291887761234,218.51584293427166,453.10947910710325,37369800,9932800
2024-07-05,224.81307983398438,462.3755798339844,224.92233836715073,463.15682857412344,220.15471670620812,453.88083144181417,220.15471670620812,454.5137192746822,60412400,16000300
2024-07-08,226.28309631347656,461.0702209472656,226.31289271610447,462.5140538822785,221.743919005718,459.30995917726233,225.55801010059582,461.37678118625774,59085900,12962300
2024-07-09,227.1372833251953,454.44451904296875,227.85242731023644,462.14811993117183,224.84286935479298,452.9215864810465,226.3923429370984,461.8217923289273,48076100,17207200
2024-07-10,231.4082794189453,461.08013916015625,231.50761086701095,461.2878021935715,227.70344677503346,453.7720662754438,227.75311249906628,456.1059138794407,62627700,18196100
